id,url,title,subtitle,image,claps,responses,reading_time,publication,date
5039,https://medium.com/datadriveninvestor/should-you-build-a-minimum-viable-product-367a2f4ff972,Should You Build a Minimum Viable Product?,,5039.jpeg,1100,10,6,Data Driven Investor,2019-03-11
5040,https://medium.com/datadriveninvestor/exponentially-weighted-average-for-deep-neural-networks-39873b8230e9,Exponentially Weighted Average for Deep Neural Networks,,5040.png,36,0,3,Data Driven Investor,2019-03-11
5041,https://medium.com/datadriveninvestor/artificial-intelligence-gans-can-create-fake-celebrity-faces-44fe80d419f7,Artificial Intelligence + GANs can create fake celebrity faces,,5041.png,30,1,7,Data Driven Investor,2019-03-11
5042,https://medium.com/datadriveninvestor/react-boilerplate-adc97f608251,React Boilerplate,"Creating boilerplate for react using webpack, with a dedicated dev-server with…",5042.png,279,2,6,Data Driven Investor,2019-03-11
5043,https://medium.com/datadriveninvestor/blockchain-a-case-for-ethereum-becoming-the-de-facto-standard-for-financing-small-businesses-86ef3cfe06ea,Blockchain: A Case for Ethereum Becoming the De Facto Standard for Financing Small Businesses,,5043.jpeg,226,0,7,Data Driven Investor,2019-03-11
5044,https://medium.com/datadriveninvestor/review-sds-simultaneous-detection-and-segmentation-instance-segmentation-80b2a8ce842b,Review: SDS — Simultaneous Detection and Segmentation (Instance Segmentation),Works on Both Object…,5044.png,48,0,3,Data Driven Investor,2019-03-11
5045,https://medium.com/datadriveninvestor/data-lakes-market-2018-2025-top-key-players-like-microsoft-informatica-teradata-capgemini-b6f6a86e2fc8,"<strong class=""markup--strong markup--h3-strong"">Data Lakes Market 2018–2027 | Top Key Players like Microsoft, Informatica, Teradata, Capgemini, EMC, Oracle</strong>",,5045.jpeg,62,0,3,Data Driven Investor,2019-03-11
5046,https://medium.com/datadriveninvestor/getting-ready-for-ai-a-data-lake-or-a-big-swamp-273b0c6ebb6e,"<strong class=""markup--strong markup--h3-strong"">Getting ready for AI: A data lake or a big swamp?</strong>",,5046.png,1,0,5,Data Driven Investor,2019-03-11
5047,https://medium.com/datadriveninvestor/crawling-out-of-treatment-resistant-depression-23b0cc174727,Crawling Out Of Treatment Resistant Depression,I’ve struggled with depression and a lot of its cousins…,5047.png,12,0,3,Data Driven Investor,2019-03-11
5048,https://medium.com/datadriveninvestor/3-skills-debating-can-teach-you-91f0bebe546c,3 Skills Debating Can Teach You,"And no, I'm not referring to your dinner table ""debates""",5048.jpeg,1,0,8,Data Driven Investor,2019-03-11
5049,https://medium.com/datadriveninvestor/being-in-a-bad-job-is-like-being-in-a-bad-relationship-a6c857400727,Being in a bad job is like being in a bad relationship,,5049.png,35,0,5,Data Driven Investor,2019-03-11
5050,https://medium.com/datadriveninvestor/how-the-positive-spin-of-the-four-agreements-can-change-your-behavior-a9c27ea3c648,How the Positive Spin of the Four Agreements Can Change Your Behavior.,,5050.jpg,104,0,5,Data Driven Investor,2019-03-11
5051,https://medium.com/datadriveninvestor/solving-problems-that-matter-diabetes-fe3cf881bca1,Solving Problems That Matter — Diabetes,,5051.jpg,0,0,4,Data Driven Investor,2019-03-11
5052,https://medium.com/datadriveninvestor/from-self-driving-cars-to-sef-driving-networks-rise-of-ai-in-telecom-adc9ca7e0cc0,From Self-Driving Cars to Self-Driving Networks: Rise of AI in Telecom,,5052.jpg,21,0,9,Data Driven Investor,2019-03-11
5053,https://medium.com/datadriveninvestor/taming-ai-exercising-judgement-on-when-to-automate-vs-augment-60f70b7a2ff9,Taming AI: Exercising Judgement On When to Automate vs Augment,Admit it…you’ve wondered.,5053.jpeg,3,0,8,Data Driven Investor,2019-03-11
5054,https://medium.com/datadriveninvestor/that-freelance-life-510c83c4d677,That Freelance Life,,5054.jpg,66,0,3,Data Driven Investor,2019-03-11
5055,https://medium.com/datadriveninvestor/how-to-start-selling-crafts-from-the-comfort-of-your-home-8eeabb8d0cdd,How to Start Selling Crafts from the Comfort of Your Home,,5055.jpg,61,0,8,Data Driven Investor,2019-03-11
5056,https://medium.com/datadriveninvestor/the-workforce-impact-of-ai-in-government-67e21bbf78b6,The Workforce Impact of AI in Government,,5056.jpg,49,0,3,Data Driven Investor,2019-03-11
5057,https://medium.com/datadriveninvestor/digit-recognition-a04de96b3407,Digit Recognition,Imagine a normal day in class writing notes from a lecture your teacher is giving…,5057.jpeg,150,0,5,Data Driven Investor,2019-03-11
5058,https://medium.com/datadriveninvestor/an-introduction-to-machine-learning-the-basics-to-get-you-started-76652fcb5d2e,An Introduction to Machine Learning — The basics to get you started,,5058.png,55,0,6,Data Driven Investor,2019-03-11
5059,https://medium.com/datadriveninvestor/financial-markets-look-ahead-week-of-march-11-2019-4f83a067dd8,"Financial Markets Look Ahead: Week of March 11, 2019",,5059.png,36,1,5,Data Driven Investor,2019-03-11
5060,https://medium.com/datadriveninvestor/latest-exclusive-report-on-smart-ticketing-market-2019-2026-c9a76c63ee1b,"<strong class=""markup--strong markup--h3-strong"">Latest Exclusive Report on Smart Ticketing Market 2019–2026</strong>",,5060.jpeg,51,0,3,Data Driven Investor,2019-03-11
5061,https://medium.com/datadriveninvestor/the-difference-between-3d-modeling-and-3d-scanning-c0a88e707c86,The Difference Between 3D Modeling and 3D Scanning,,5061.jpeg,0,0,4,Data Driven Investor,2019-03-11
5062,https://medium.com/datadriveninvestor/facts-before-fiction-setting-up-ai-for-marketing-success-d78828d8eed8,"<strong class=""markup--strong markup--h3-strong"">Facts before fiction: Setting up AI for Marketing Success</strong>",,5062.png,25,1,7,Data Driven Investor,2019-03-11
5063,https://medium.com/datadriveninvestor/dismiss-the-future-of-blockchain-at-your-own-peril-a8c549d76c49,Dismiss the future of Blockchain at your own peril,,5063.jpeg,32,0,4,Data Driven Investor,2019-03-11
5064,https://medium.com/datadriveninvestor/6-famous-failures-from-top-entrepreneurs-c45d14e81355,6 Famous Failures From Top Entrepreneurs,,5064.jpeg,2,0,2,Data Driven Investor,2019-03-11
5065,https://medium.com/datadriveninvestor/team-coaching-on-sailing-yachts-a-transformative-experience-9c3dba26a871,Team Coaching on Sailing Yachts — A Transformative Experience,,5065.jpeg,33,0,7,Data Driven Investor,2019-03-11
5066,https://medium.com/datadriveninvestor/6-easy-tips-that-will-actually-help-you-be-more-productive-today-60121a983dff,6 easy tips that will actually help you be more productive today,Sometimes you just don’t know where…,5066.jpeg,35,0,4,Data Driven Investor,2019-03-11
5067,https://medium.com/datadriveninvestor/when-following-the-money-leaves-you-high-and-dry-892ef07df542,When “Following the Money” Leaves You High and Dry,,5067.png,11,0,4,Data Driven Investor,2019-03-11
5068,https://medium.com/datadriveninvestor/three-tips-to-grow-your-business-online-in-2019-208e9bdc8f35,Three Tips to Grow Your Business Online in 2019,With the immensity of the internet comes a lot of…,5068.jpeg,0,0,6,Data Driven Investor,2019-03-11
5069,https://medium.com/datadriveninvestor/schedulers-keep-social-media-on-track-8f5813729d94,Schedulers keep social media on track,,5069.jpg,81,0,4,Data Driven Investor,2019-03-11
5070,https://medium.com/datadriveninvestor/ties-at-risk-acf5669cda86,Ties at risk,,5070.jpeg,0,0,3,Data Driven Investor,2019-03-11
5071,https://medium.com/datadriveninvestor/i-decided-not-to-be-busy-anymore-and-this-is-what-happened-f678cd637447,I Decided Not To Be “Busy” Anymore And This Is What Happened,,5071.jpg,1,0,3,Data Driven Investor,2019-03-11
5072,https://medium.com/better-humans/how-to-master-intentional-dreaming-for-a-satisfying-life-af96b99179b7,How to Master Intentional Dreaming for a Satisfying Life,"The best, most complete methodology to get…",5072.jpeg,6600,27,16,Better Humans,2019-03-11
5073,https://towardsdatascience.com/using-reinforcement-learning-to-trade-bitcoin-for-massive-profit-b69d0e8f583b,Optimizing deep learning trading bots using state-of-the-art techniques,Let’s teach our deep RL agents…,5073.jpeg,4100,25,17,Towards Data Science,2019-06-04
5074,https://towardsdatascience.com/step-by-step-understanding-lstm-autoencoder-layers-ffab055b6352,Step-by-step understanding LSTM Autoencoder layers,"Here we will break down an LSTM autoencoder network to understand them layer-by-layer. We will go over the input and output flow between the layers, and…",,1000,15,7,Towards Data Science,2019-06-04
5075,https://towardsdatascience.com/verifying-the-assumptions-of-linear-regression-in-python-and-r-f4cd2907d4c0,Verifying the Assumptions of Linear Regression in Python and R,Dive deeper into the Gauss-Markov…,5075.jpeg,622,4,13,Towards Data Science,2019-06-04
5076,https://towardsdatascience.com/on-the-state-of-deep-learning-outside-of-cudas-walled-garden-d88c8bbb4342,On the state of Deep Learning outside of CUDA’s walled garden,,5076.jpeg,435,4,5,Towards Data Science,2019-06-04
5077,https://towardsdatascience.com/anomaly-detection-time-series-4c661f6f165f,Anomaly detection in time series with Prophet library,,5077.png,1300,6,3,Towards Data Science,2019-06-04
5078,https://towardsdatascience.com/kedro-prepare-to-pimp-your-pipeline-f8f68c263466,Kedro: Prepare to Pimp your Pipeline,A new Python library for production-ready data pipelines,5078.jpeg,357,1,10,Towards Data Science,2019-06-04
5079,https://towardsdatascience.com/time-series-analysis-and-climate-change-7bb4371021e,Time Series Analysis and Climate Change,A hands-on guide to time series analysis; investigating…,5079.png,139,5,15,Towards Data Science,2019-06-04
5080,https://towardsdatascience.com/eligibility-traces-in-reinforcement-learning-a6b458c019d6,Eligibility Traces in Reinforcement Learning,Sometimes looking backward isn’t that bad,5080.jpg,52,1,7,Towards Data Science,2019-06-04
5081,https://towardsdatascience.com/optimizing-portfolios-with-modern-portfolio-theory-using-python-60ce9a597808,Optimizing Portfolios with Modern Portfolio Theory Using Python,MPT and some basic Python…,5081.jpg,529,2,5,Towards Data Science,2019-06-04
5082,https://towardsdatascience.com/parking-occupancy-detection-de25cc0966ef,Finding the vacant parking slot,Detecting parking lot occupancy from a security cam footage using deep…,5082.gif,228,1,8,Towards Data Science,2019-06-04
5083,https://towardsdatascience.com/how-to-make-a-success-story-of-your-data-science-team-1719129941ba,How to make a success story of your data science team.,,5083.jpeg,204,2,11,Towards Data Science,2019-06-04
5084,https://towardsdatascience.com/fooling-facial-detection-with-fashion-d668ed919eb,Fooling Facial Detection with Fashion,Usage of facial recognition is on the rise. With the recent…,5084.png,191,1,7,Towards Data Science,2019-06-04
5085,https://towardsdatascience.com/how-to-capture-weather-data-on-your-home-400716bde645,How to Capture Weather Data with your own IoT Home Station,"Capturing weather data, and logging them…",5085.png,28,0,22,Towards Data Science,2019-06-04
5086,https://towardsdatascience.com/moneyball-linear-regression-76034259af5e,Moneyball — Linear Regression,Using Linear Regression in Python to predict baseball season…,5086.jpg,218,2,9,Towards Data Science,2019-06-04
5087,https://towardsdatascience.com/analyzing-text-classification-techniques-on-youtube-data-7af578449f58,Analyzing Text Classification Techniques on Youtube Data,,5087.png,36,0,9,Towards Data Science,2019-06-04
5088,https://towardsdatascience.com/autoencoders-in-keras-273389677c20,An Intuitive Explanation to AutoEncoders,and how to implement them in…,5088.jpg,258,2,4,Towards Data Science,2019-06-04
